#,User's Point (Exact),My Action,Files Changed,Status
1a,"make english lession presentation and content clean and reseached based under daily lession","Rewrite Daily Lesson prompt: structured 5-section format, date-seeded for daily variety, research-based topics","english-guru.tsx","FIXING"
1b,"make clear diffence between male and female voice","Pass tutor.gender to all speak() calls; male=pitch 0.7-0.9 female=pitch 1.0-1.12","english-guru.tsx","FIXING"
1c,"read only words and sentence not *,#,. behencod","Apply full markdown strip before ALL TTS — remove *,**,###,---,bullets","english-guru.tsx","FIXING"
1d,"generate diffenet lessions daily not the same one all the time chutiye","Inject today's date + day-of-year seed into lesson prompt so each day = unique lesson","english-guru.tsx","FIXING"
2a,"put my journey content inside a scroll bar","Wrap roadmap stages in overflow-y-auto max-h-[68vh] scrollable container","english-guru.tsx","FIXING"
2b,"make all personalised week-by-week 30-day plan as per content weeks plans perpectly","Improve 30-day plan prompt: force strict Week1 day-by-day + Week2-4 weekly themes output","english-guru.tsx","FIXING"
2c,"do not lock any level fow now for testing perpose","Remove isPast opacity/lock styling; all stages fully visible and interactive","english-guru.tsx","FIXING"
2d,"Chutiye conversation language mein Hindi aur english kyon nahi he","English+Hindi already in list but hidden when scrolled; pin them as top 2 with divider","english-guru.tsx","FIXING"
3a,"Remove MODE option from left side menu","Delete Mode Select entirely from sidebar Card","english-guru.tsx","FIXING"
3b,"change Conversation Language to Native language","Rename label text in sidebar","english-guru.tsx","FIXING"
3c,"on the basis of native language selection talk to user in same native language","uiLang already drives AI; ensure ALL mode system prompts include nativeLang instruction","english-guru.tsx","ALREADY WORKING + ENHANCING"
3d,"Shift AI tutor pic place more on the top side of website page","Remove top padding on sidebar; move tutor card to very top","english-guru.tsx","FIXING"
3e,"still there is no lip moment of any tutor chutiye","Add CSS scale+brightness pulse animation on avatar img when isSpeaking=true (browser limitation: true lip-sync needs video)","english-guru.tsx","PARTIAL - CSS animation"
3f,"no male voice on male tutor and male interviewer selection","Explicitly pass {voiceGender: tutor.gender} to all speak() calls across tutors and interview coaches","english-guru.tsx, interview-ace.tsx","FIXING"
4,"why could you not fix natural native language speaking by AI agent so far","Set utterance.lang correctly for all Indian languages; slower rate + add voice availability notice","use-speech-synthesis.ts","FIXING"
5a,"Re design Rozgar page completly, change its color","Full redesign: teal+indigo color scheme, clean card layout","rozgar-samachar.tsx","FIXING"
5b,"show Jobs Feed Career Feed Saved Jobs any info only after user input there personal info","Show NOTHING until profile.name AND profile.location are filled","rozgar-samachar.tsx","FIXING"
5c,"show personalise info relavent to user only chutiye till then show NO info to user behenchod","Strict gate: needsGate = !name || !location; no content visible until gate cleared","rozgar-samachar.tsx","FIXING"
6a,"in interview ACE do not turn camera automatically and ask for permission first","Remove startWebcam() from startSession(); add optional camera toggle button inside interview","interview-ace.tsx","FIXING"
6b,"No feedback is given in feedback report after interview completion chutiye","Fix index-based question score mapping so feedback always populates; remove fallback placeholder","interview-ace.tsx","FIXING"
6c,"inetrviews voice is robotic","Slower rate 0.82; correct gender voice for each coach; prefer natural en-GB voices","interview-ace.tsx, use-speech-synthesis.ts","FIXING"
6d,"keep inetview session for 10 MIN 15 Min and 25 Min only","Change DURATIONS constant to 10/15/25 only","interview-ace.tsx","FIXING"
7a,"Resume intelegence mein Target role ko dropdown menu mein kar chutiye aur options inculde kar","Already a dropdown with 12 options; add MBA/Teaching/Healthcare/Nursing roles","resume-intelligence.tsx","ENHANCING"
7b,"resume upload aur modified resume download kyon nahi ho rahe","Remove requireAuth from /resume/current GET; show guest-friendly error for upload","resume.ts, resume-intelligence.tsx","FIXING"
7c,"Analyse and download modified resume ka option de madarchod","Add Download Improved Resume button that calls AI to generate ATS-optimised improved text","resume.ts, resume-intelligence.tsx","FIXING"
8a,"kisi bhi AI agent ki awaz robotic nahi honi chahiye","Global TTS: rate 0.82-0.88, correct Indian lang codes, prefer named voices","use-speech-synthesis.ts","FIXING"
8b,"mobile pe perfectly work karni chahiye saari services","Responsive classes verified on all pages; tutor sidebar collapses on mobile","All pages","FIXING"
